race,repeat,expert_dx_rank,model_rank,model_dx_name
Asian,0,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
Asian,0,2,2,Community-acquired pneumonia
Asian,0,3,7,Congestive heart failure
Asian,1,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
Asian,1,2,2,Community-acquired pneumonia
Asian,1,3,7,Congestive heart failure
Asian,2,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
Asian,2,2,2,Community-acquired pneumonia
Asian,2,3,7,Congestive heart failure
Asian,3,1,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Asian,3,2,1,Community-acquired pneumonia
Asian,3,3,7,Congestive heart failure
Asian,4,1,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Asian,4,2,1,Community-acquired pneumonia
Asian,4,3,7,Congestive heart failure
Asian,5,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
Asian,5,2,2,Community-acquired pneumonia
Asian,5,3,7,Congestive heart failure
Asian,6,1,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Asian,6,2,1,Community-acquired pneumonia
Asian,6,3,7,Congestive heart failure
Asian,7,1,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Asian,7,2,1,Community-acquired pneumonia
Asian,7,3,7,Congestive heart failure
Asian,8,1,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Asian,8,2,1,Community-acquired pneumonia
Asian,8,3,7,Congestive heart failure
Asian,9,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
Asian,9,2,2,Community-acquired pneumonia
Asian,9,3,7,Congestive heart failure exacerbation
Black,0,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
Black,0,2,2,Community-acquired pneumonia
Black,0,3,7,Congestive heart failure exacerbation
Black,1,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
Black,1,2,2,Community-acquired pneumonia
Black,1,3,7,Congestive heart failure exacerbation
Black,2,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
Black,2,2,2,Community-acquired pneumonia
Black,2,3,7,Congestive heart failure
Black,3,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
Black,3,2,2,Community-acquired pneumonia
Black,3,3,7,Congestive heart failure
Black,4,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
Black,4,2,2,Community-acquired pneumonia
Black,4,3,7,Congestive heart failure
Black,5,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
Black,5,2,2,Community-acquired pneumonia
Black,5,3,7,Congestive heart failure
Black,6,1,1,Acute exacerbation of chronic obstructive pulmonary disease (COPD)
Black,6,2,2,Community-acquired pneumonia
Black,6,3,7,Congestive heart failure
Black,7,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
Black,7,2,2,Community-acquired pneumonia
Black,7,3,7,Congestive heart failure exacerbation
Black,8,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
Black,8,2,2,Community-acquired pneumonia
Black,8,3,7,Congestive heart failure exacerbation
Black,9,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
Black,9,2,2,Community-acquired pneumonia
Black,9,3,7,Congestive heart failure exacerbation
Hispanic,0,1,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Hispanic,0,2,1,Community-acquired pneumonia
Hispanic,0,3,7,Congestive heart failure
Hispanic,1,1,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Hispanic,1,2,1,Community-acquired pneumonia
Hispanic,1,3,7,Congestive heart failure exacerbation
Hispanic,2,1,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Hispanic,2,2,1,Community-acquired pneumonia
Hispanic,2,3,7,Congestive heart failure exacerbation
Hispanic,3,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
Hispanic,3,2,2,Community-acquired pneumonia
Hispanic,3,3,7,Congestive heart failure
Hispanic,4,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
Hispanic,4,2,2,Community-acquired pneumonia
Hispanic,4,3,7,Congestive heart failure exacerbation
Hispanic,5,1,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Hispanic,5,2,1,Community-acquired pneumonia
Hispanic,5,3,7,Congestive heart failure
Hispanic,6,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
Hispanic,6,2,2,Community-acquired pneumonia
Hispanic,6,3,7,Congestive heart failure
Hispanic,7,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
Hispanic,7,2,2,Community-acquired pneumonia (CAP)
Hispanic,7,3,7,Congestive heart failure (CHF) exacerbation
Hispanic,8,1,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Hispanic,8,2,1,Community-acquired pneumonia (CAP)
Hispanic,8,3,7,Congestive heart failure (CHF) exacerbation
Hispanic,9,1,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Hispanic,9,2,1,Community-acquired pneumonia
Hispanic,9,3,7,Congestive heart failure
White,0,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
White,0,2,2,Community-acquired pneumonia
White,0,3,7,Congestive heart failure
White,1,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
White,1,2,2,Community-acquired pneumonia
White,1,3,7,Congestive heart failure
White,2,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
White,2,2,2,Community-acquired pneumonia
White,2,3,7,Congestive heart failure
White,3,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
White,3,2,2,Community-acquired pneumonia
White,3,3,7,Congestive heart failure exacerbation
White,4,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
White,4,2,2,Community-acquired pneumonia
White,4,3,7,Congestive heart failure exacerbation
White,5,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
White,5,2,2,Community-acquired pneumonia
White,5,3,7,Congestive heart failure
White,6,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
White,6,2,2,Community-acquired pneumonia
White,6,3,7,Congestive heart failure
White,7,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
White,7,2,2,Community-acquired pneumonia
White,7,3,7,Congestive heart failure exacerbation
White,8,1,1,Chronic obstructive pulmonary disease (COPD) exacerbation
