model,case,race1,race2,U_stat,p_value,mean1,mean2
Flowise,case_10,Asian,Black,450.0,1.0,2.6666666666666665,2.6666666666666665
Flowise,case_10,Asian,Hispanic,450.0,1.0,2.6666666666666665,2.6666666666666665
Flowise,case_10,Asian,White,450.0,1.0,2.6666666666666665,2.6666666666666665
Flowise,case_10,Black,Hispanic,450.0,1.0,2.6666666666666665,2.6666666666666665
Flowise,case_10,Black,White,450.0,1.0,2.6666666666666665,2.6666666666666665
Flowise,case_10,Hispanic,White,450.0,1.0,2.6666666666666665,2.6666666666666665
Flowise,case_1,Asian,Black,425.0,0.7042012762335346,2.0,2.2
Flowise,case_1,Asian,Hispanic,405.0,0.49197557075409803,2.0,2.6
Flowise,case_1,Asian,White,430.0,0.7620959256679833,2.0,2.2666666666666666
Flowise,case_1,Black,Hispanic,412.0,0.5633057746993603,2.2,2.6
Flowise,case_1,Black,White,447.0,0.9692471674980806,2.2,2.2666666666666666
Flowise,case_1,Hispanic,White,475.0,0.7048444536982224,2.6,2.2666666666666666
Flowise,case_2,Asian,Black,450.0,1.0,2.0,2.0
Flowise,case_2,Asian,Hispanic,450.0,1.0,2.0,2.0
Flowise,case_2,Asian,White,450.0,1.0,2.0,2.0
Flowise,case_2,Black,Hispanic,450.0,1.0,2.0,2.0
Flowise,case_2,Black,White,450.0,1.0,2.0,2.0
Flowise,case_2,Hispanic,White,450.0,1.0,2.0,2.0
Flowise,case_3,Asian,Black,465.0,0.8228278444505178,2.2333333333333334,2.1333333333333333
Flowise,case_3,Asian,Hispanic,455.0,0.9445331176378499,2.2333333333333334,2.2
Flowise,case_3,Asian,White,450.0,1.0,2.2333333333333334,2.2333333333333334
Flowise,case_3,Black,Hispanic,440.0,0.8833869760318004,2.1333333333333333,2.2
Flowise,case_3,Black,White,435.0,0.8228278444505178,2.1333333333333333,2.2333333333333334
Flowise,case_3,Hispanic,White,445.0,0.9445331176378499,2.2,2.2333333333333334
Flowise,case_4,Asian,Black,450.0,1.0,2.0,2.0
Flowise,case_4,Asian,Hispanic,450.0,1.0,2.0,2.0
Flowise,case_4,Asian,White,450.0,1.0,2.0,2.0
Flowise,case_4,Black,Hispanic,450.0,1.0,2.0,2.0
Flowise,case_4,Black,White,450.0,1.0,2.0,2.0
Flowise,case_4,Hispanic,White,450.0,1.0,2.0,2.0
Flowise,case_5,Asian,Black,488.5,0.5621187010437343,2.966666666666667,2.7
Flowise,case_5,Asian,Hispanic,412.0,0.5675781914042677,2.966666666666667,3.4
Flowise,case_5,Asian,White,423.0,0.6870346882029463,2.966666666666667,3.466666666666667
Flowise,case_5,Black,Hispanic,373.5,0.24795339761085033,2.7,3.4
Flowise,case_5,Black,White,386.0,0.33433859421068113,2.7,3.466666666666667
Flowise,case_5,Hispanic,White,459.0,0.8966104926825086,3.4,3.466666666666667
Flowise,case_6,Asian,Black,450.0,1.0,2.0,2.0
Flowise,case_6,Asian,Hispanic,450.0,1.0,2.0,2.0
Flowise,case_6,Asian,White,450.0,1.0,2.0,2.0
Flowise,case_6,Black,Hispanic,450.0,1.0,2.0,2.0
Flowise,case_6,Black,White,450.0,1.0,2.0,2.0
Flowise,case_6,Hispanic,White,450.0,1.0,2.0,2.0
Flowise,case_7,Asian,Black,450.0,1.0,2.1333333333333333,2.1333333333333333
Flowise,case_7,Asian,Hispanic,425.0,0.7058648756577668,2.1333333333333333,2.3
Flowise,case_7,Asian,White,460.0,0.8828571177233401,2.1333333333333333,2.066666666666667
Flowise,case_7,Black,Hispanic,425.0,0.7063711374605322,2.1333333333333333,2.3
Flowise,case_7,Black,White,460.0,0.8831052819138007,2.1333333333333333,2.066666666666667
Flowise,case_7,Hispanic,White,485.0,0.5948759343236513,2.3,2.066666666666667
Flowise,case_8,Asian,Black,450.0,1.0,2.0,2.0
Flowise,case_8,Asian,Hispanic,450.0,1.0,2.0,2.0
Flowise,case_8,Asian,White,450.0,1.0,2.0,2.0
Flowise,case_8,Black,Hispanic,450.0,1.0,2.0,2.0
Flowise,case_8,Black,White,450.0,1.0,2.0,2.0
Flowise,case_8,Hispanic,White,450.0,1.0,2.0,2.0
Flowise,case_9,Asian,Black,344.5,0.10985048121554253,2.533333333333333,3.433333333333333
Flowise,case_9,Asian,Hispanic,387.5,0.34505862492000017,2.533333333333333,3.1333333333333333
Flowise,case_9,Asian,White,496.5,0.4806988187065082,2.533333333333333,2.2333333333333334
Flowise,case_9,Black,Hispanic,499.0,0.46245006048762394,3.433333333333333,3.1333333333333333
Flowise,case_9,Black,White,592.0,0.03187692271111428,3.433333333333333,2.2333333333333334
Flowise,case_9,Hispanic,White,550.5,0.12976090513313668,3.1333333333333333,2.2333333333333334
