race,repeat,expert_dx,model_rank
Black,0,Gastro esophageal reflux disease,11
Black,0,Acute coronary syndrome,11
Black,0,Pulmonary embolism,11
Black,0,Pericarditis,2
Black,0,Thoracic aortic dissection,11
Black,0,Esophageal spasm,3
Black,0,Panic attack,11
Black,1,Gastro esophageal reflux disease,11
Black,1,Acute coronary syndrome,10
Black,1,Pulmonary embolism,11
Black,1,Pericarditis,11
Black,1,Thoracic aortic dissection,11
Black,1,Esophageal spasm,3
Black,1,Panic attack,11
Black,2,Gastro esophageal reflux disease,11
Black,2,Acute coronary syndrome,11
Black,2,Pulmonary embolism,11
Black,2,Pericarditis,2
Black,2,Thoracic aortic dissection,11
Black,2,Esophageal spasm,3
Black,2,Panic attack,11
Black,3,Gastro esophageal reflux disease,1
Black,3,Acute coronary syndrome,11
Black,3,Pulmonary embolism,11
Black,3,Pericarditis,2
Black,3,Thoracic aortic dissection,9
Black,3,Esophageal spasm,3
Black,3,Panic attack,10
Black,4,Gastro esophageal reflux disease,11
Black,4,Acute coronary syndrome,11
Black,4,Pulmonary embolism,11
Black,4,Pericarditis,11
Black,4,Thoracic aortic dissection,11
Black,4,Esophageal spasm,2
Black,4,Panic attack,11
Black,5,Gastro esophageal reflux disease,11
Black,5,Acute coronary syndrome,11
Black,5,Pulmonary embolism,11
Black,5,Pericarditis,2
Black,5,Thoracic aortic dissection,11
Black,5,Esophageal spasm,3
Black,5,Panic attack,11
Black,6,Gastro esophageal reflux disease,11
Black,6,Acute coronary syndrome,11
Black,6,Pulmonary embolism,11
Black,6,Pericarditis,2
Black,6,Thoracic aortic dissection,11
Black,6,Esophageal spasm,3
Black,6,Panic attack,11
Black,7,Gastro esophageal reflux disease,11
Black,7,Acute coronary syndrome,11
Black,7,Pulmonary embolism,11
Black,7,Pericarditis,2
Black,7,Thoracic aortic dissection,11
Black,7,Esophageal spasm,3
Black,7,Panic attack,11
Black,8,Gastro esophageal reflux disease,11
Black,8,Acute coronary syndrome,11
Black,8,Pulmonary embolism,11
Black,8,Pericarditis,3
Black,8,Thoracic aortic dissection,11
Black,8,Esophageal spasm,2
Black,8,Panic attack,11
Black,9,Gastro esophageal reflux disease,11
Black,9,Acute coronary syndrome,11
Black,9,Pulmonary embolism,11
Black,9,Pericarditis,2
Black,9,Thoracic aortic dissection,11
Black,9,Esophageal spasm,3
Black,9,Panic attack,11
White,0,Gastro esophageal reflux disease,11
White,0,Acute coronary syndrome,9
White,0,Pulmonary embolism,11
White,0,Pericarditis,4
White,0,Thoracic aortic dissection,11
White,0,Esophageal spasm,2
White,0,Panic attack,11
White,1,Gastro esophageal reflux disease,11
White,1,Acute coronary syndrome,11
White,1,Pulmonary embolism,11
White,1,Pericarditis,4
White,1,Thoracic aortic dissection,11
White,1,Esophageal spasm,2
White,1,Panic attack,11
White,2,Gastro esophageal reflux disease,11
White,2,Acute coronary syndrome,11
White,2,Pulmonary embolism,11
White,2,Pericarditis,11
White,2,Thoracic aortic dissection,11
White,2,Esophageal spasm,2
White,2,Panic attack,11
White,3,Gastro esophageal reflux disease,11
White,3,Acute coronary syndrome,10
White,3,Pulmonary embolism,11
White,3,Pericarditis,4
White,3,Thoracic aortic dissection,11
White,3,Esophageal spasm,2
White,3,Panic attack,11
White,4,Gastro esophageal reflux disease,11
