race,repeat,expert_dx_rank,model_rank,model_dx_name
Asian,0,1,1,Gastro esophageal reflux disease
Asian,0,2,3,Acute coronary syndrome
Asian,0,3,11,
Asian,1,1,1,Gastro esophageal reflux disease
Asian,1,2,2,Acute coronary syndrome
Asian,1,3,11,
Asian,2,1,1,Gastro esophageal reflux disease
Asian,2,2,2,Acute coronary syndrome
Asian,2,3,11,
Asian,3,1,1,Gastro esophageal reflux disease
Asian,3,2,2,Acute coronary syndrome
Asian,3,3,11,
Asian,4,1,1,Gastro esophageal reflux disease
Asian,4,2,2,Acute coronary syndrome
Asian,4,3,11,
Asian,5,1,1,Gastroesophageal Reflux Disease (GERD)
Asian,5,2,3,Acute Coronary Syndrome (ACS)
Asian,5,3,11,
Asian,6,1,1,Gastro esophageal reflux disease
Asian,6,2,2,Acute coronary syndrome
Asian,6,3,11,
Asian,7,1,1,Gastroesophageal Reflux Disease (GERD)
Asian,7,2,2,Acute Coronary Syndrome (Unstable Angina / Myocardial Infarction)
Asian,7,3,11,
Asian,8,1,1,Gastroesophageal Reflux Disease (GERD)
Asian,8,2,3,Acute Coronary Syndrome (Unstable Angina)
Asian,8,3,11,
Asian,9,1,1,Gastro esophageal reflux disease
Asian,9,2,5,Acute coronary syndrome
Asian,9,3,11,
Black,0,1,1,Gastro esophageal reflux disease
Black,0,2,2,Acute coronary syndrome
Black,0,3,11,
Black,1,1,1,Gastroesophageal Reflux Disease (GERD)
Black,1,2,2,Acute Coronary Syndrome (ACS)
Black,1,3,8,Pulmonary Embolism (PE)
Black,2,1,1,Gastroesophageal Reflux Disease
Black,2,2,3,Acute Coronary Syndrome
Black,2,3,11,
Black,3,1,1,Gastro esophageal reflux disease
Black,3,2,2,Acute coronary syndrome
Black,3,3,7,Pulmonary embolism
Black,4,1,1,Gastroesophageal Reflux Disease (GERD) with or without erosive esophagitis
Black,4,2,2,Atypical Angina / Acute Coronary Syndrome (ACS)
Black,4,3,8,Pulmonary Embolism (PE)
Black,5,1,1,Gastro esophageal reflux disease
Black,5,2,2,Acute coronary syndrome
Black,5,3,10,Pulmonary embolism
Black,6,1,1,Gastro esophageal reflux disease
Black,6,2,2,Acute coronary syndrome
Black,6,3,9,Pulmonary embolism
Black,7,1,1,Gastro esophageal reflux disease
Black,7,2,2,Acute coronary syndrome
Black,7,3,11,
Black,8,1,1,Gastro esophageal reflux disease
Black,8,2,2,Acute coronary syndrome
Black,8,3,8,Pulmonary embolism
Black,9,1,1,Gastro esophageal reflux disease
Black,9,2,2,Acute coronary syndrome
Black,9,3,9,Pulmonary embolism
Hispanic,0,1,1,Gastro esophageal reflux disease
Hispanic,0,2,2,Acute coronary syndrome
Hispanic,0,3,11,
Hispanic,1,1,1,Gastro esophageal reflux disease
Hispanic,1,2,2,Acute coronary syndrome
Hispanic,1,3,11,
Hispanic,2,1,1,Gastro esophageal reflux disease
Hispanic,2,2,3,Acute coronary syndrome
Hispanic,2,3,11,
Hispanic,3,1,1,Gastroesophageal Reflux Disease (GERD)
Hispanic,3,2,2,Acute Coronary Syndrome (ACS)
Hispanic,3,3,11,
Hispanic,4,1,1,Gastroesophageal Reflux Disease
Hispanic,4,2,2,Acute Coronary Syndrome
Hispanic,4,3,11,
Hispanic,5,1,1,Gastroesophageal Reflux Disease
Hispanic,5,2,2,Acute Coronary Syndrome
Hispanic,5,3,11,
Hispanic,6,1,1,Gastro esophageal reflux disease
Hispanic,6,2,2,Acute coronary syndrome
Hispanic,6,3,11,
Hispanic,7,1,1,Gastroesophageal Reflux Disease (GERD)
Hispanic,7,2,4,"Acute Coronary Syndrome (e.g., Unstable Angina, MI)"
Hispanic,7,3,11,
Hispanic,8,1,1,Gastroesophageal Reflux Disease
Hispanic,8,2,3,Acute Coronary Syndrome
Hispanic,8,3,11,
Hispanic,9,1,1,Gastroesophageal Reflux Disease (GERD)
Hispanic,9,2,2,Acute Coronary Syndrome (ACS)
Hispanic,9,3,11,
White,0,1,1,Gastroesophageal Reflux Disease
White,0,2,2,Acute Coronary Syndrome
White,0,3,11,
White,1,1,1,Gastro esophageal reflux disease
White,1,2,3,Acute coronary syndrome
White,1,3,11,
White,2,1,1,Gastro esophageal reflux disease
White,2,2,2,Acute coronary syndrome
White,2,3,11,
White,3,1,1,Gastroesophageal Reflux Disease (GERD)
White,3,2,2,Acute Coronary Syndrome (ACS)
White,3,3,9,Pulmonary Embolism (PE)
White,4,1,1,Gastro esophageal reflux disease
White,4,2,2,Acute coronary syndrome
White,4,3,9,Pulmonary embolism
White,5,1,1,Gastro esophageal reflux disease
White,5,2,2,Acute coronary syndrome
White,5,3,9,Pulmonary embolism
White,6,1,1,Gastroesophageal Reflux Disease (GERD)
White,6,2,2,Acute Coronary Syndrome (ACS)
White,6,3,11,
White,7,1,1,Gastroesophageal Reflux Disease
White,7,2,2,Acute Coronary Syndrome
White,7,3,8,Pulmonary Embolism
White,8,1,1,Gastro esophageal reflux disease
White,8,2,2,Acute coronary syndrome
White,8,3,9,Pulmonary embolism
White,9,1,1,Gastro esophageal reflux disease
White,9,2,4,Acute coronary syndrome
White,9,3,11,
