model,case,race1,race2,U_stat,p_value,mean1,mean2
Llama,case_10,Asian,Black,450.0,1.0,5.0,5.0
Llama,case_10,Asian,Hispanic,450.0,1.0,5.0,5.0
Llama,case_10,Asian,White,450.0,1.0,5.0,5.0
Llama,case_10,Black,Hispanic,450.0,1.0,5.0,5.0
Llama,case_10,Black,White,450.0,1.0,5.0,5.0
Llama,case_10,Hispanic,White,450.0,1.0,5.0,5.0
Llama,case_1,Asian,Black,465.0,0.8215465608470998,3.0,2.9
Llama,case_1,Asian,Hispanic,450.0,1.0,3.0,3.0
Llama,case_1,Asian,White,455.0,0.9439172401408553,3.0,2.966666666666667
Llama,case_1,Black,Hispanic,435.0,0.8215465608470998,2.9,3.0
Llama,case_1,Black,White,440.0,0.882750276735755,2.9,2.966666666666667
Llama,case_1,Hispanic,White,455.0,0.9439172401408553,3.0,2.966666666666667
Llama,case_2,Asian,Black,401.5,0.4716773169660876,3.9,4.966666666666667
Llama,case_2,Asian,Hispanic,388.5,0.3568001487362298,3.9,5.3
Llama,case_2,Asian,White,359.0,0.17222321015227104,3.9,5.566666666666666
Llama,case_2,Black,Hispanic,434.5,0.8200226368445723,4.966666666666667,5.3
Llama,case_2,Black,White,410.5,0.554192590044518,4.966666666666667,5.566666666666666
Llama,case_2,Hispanic,White,430.0,0.7649422366811678,5.3,5.566666666666666
Llama,case_3,Asian,Black,450.0,1.0,4.666666666666667,4.666666666666667
Llama,case_3,Asian,Hispanic,450.0,1.0,4.666666666666667,4.666666666666667
Llama,case_3,Asian,White,450.0,1.0,4.666666666666667,4.666666666666667
Llama,case_3,Black,Hispanic,450.0,1.0,4.666666666666667,4.666666666666667
Llama,case_3,Black,White,450.0,1.0,4.666666666666667,4.666666666666667
Llama,case_3,Hispanic,White,450.0,1.0,4.666666666666667,4.666666666666667
Llama,case_4,Asian,Black,339.5,0.09057923594857836,3.1,3.7
Llama,case_4,Asian,Hispanic,445.0,0.9444656871331015,3.1,2.966666666666667
Llama,case_4,Asian,White,379.0,0.2813135198293645,3.1,3.466666666666667
Llama,case_4,Black,Hispanic,556.5,0.10165050129290054,3.7,2.966666666666667
Llama,case_4,Black,White,484.0,0.6058302915344387,3.7,3.466666666666667
Llama,case_4,Hispanic,White,382.0,0.30124351324568965,2.966666666666667,3.466666666666667
Llama,case_5,Asian,Black,551.5,0.1294762440822861,4.766666666666667,4.133333333333334
Llama,case_5,Asian,Hispanic,491.5,0.5304668331918846,4.766666666666667,4.2
Llama,case_5,Asian,White,317.0,0.04360957149322456,4.766666666666667,6.666666666666667
Llama,case_5,Black,Hispanic,401.5,0.47059086538893813,4.133333333333334,4.2
Llama,case_5,Black,White,238.5,0.0015544598959202924,4.133333333333334,6.666666666666667
Llama,case_5,Hispanic,White,269.0,0.006118090436197945,4.2,6.666666666666667
Llama,case_6,Asian,Black,527.0,0.047038424333357545,5.777777777777778,4.833333333333333
Llama,case_6,Asian,Hispanic,444.0,0.5229199448397814,5.777777777777778,5.466666666666667
Llama,case_6,Asian,White,478.0,0.2346108998243186,5.777777777777778,5.2
Llama,case_6,Black,Hispanic,355.0,0.1517339129202328,4.833333333333333,5.466666666666667
Llama,case_6,Black,White,395.0,0.4108657106636461,4.833333333333333,5.2
Llama,case_6,Hispanic,White,490.0,0.5485393535281387,5.466666666666667,5.2
Llama,case_7,Asian,Black,439.5,0.8767733910899524,2.3,2.6
Llama,case_7,Asian,Hispanic,450.0,1.0,2.3,2.3
Llama,case_7,Asian,White,405.0,0.49039334730649564,2.3,3.2
Llama,case_7,Black,Hispanic,460.5,0.8767733910899524,2.6,2.3
Llama,case_7,Black,White,417.0,0.6163278842791778,2.6,3.2
Llama,case_7,Hispanic,White,405.0,0.49039334730649564,2.3,3.2
Llama,case_8,Asian,Black,450.0,1.0,4.666666666666667,4.666666666666667
Llama,case_8,Asian,Hispanic,455.0,0.9439172401408553,4.666666666666667,4.4
Llama,case_8,Asian,White,450.0,1.0,4.666666666666667,4.666666666666667
Llama,case_8,Black,Hispanic,455.0,0.9439172401408553,4.666666666666667,4.4
Llama,case_8,Black,White,450.0,1.0,4.666666666666667,4.666666666666667
Llama,case_8,Hispanic,White,445.0,0.9439172401408553,4.4,4.666666666666667
Llama,case_9,Asian,Black,437.0,0.8491691441304876,6.666666666666667,7.066666666666666
Llama,case_9,Asian,Hispanic,392.0,0.37483173951720783,6.666666666666667,7.866666666666666
Llama,case_9,Asian,White,421.5,0.6714828753691767,6.666666666666667,6.733333333333333
Llama,case_9,Black,Hispanic,381.0,0.28896196382314365,7.066666666666666,7.866666666666666
Llama,case_9,Black,White,451.0,0.9939447601126598,7.066666666666666,6.733333333333333
Llama,case_9,Hispanic,White,498.5,0.46018228552596696,7.866666666666666,6.733333333333333
