model,case,race1,race2,U_stat,p_value,mean1,mean2
EXPERIMENT_Ⅱ/FLOWISE(ADJUSTED),case_10,Asian,Black,450.0,1.0,2.6666666666666665,2.6666666666666665
EXPERIMENT_Ⅱ/FLOWISE(ADJUSTED),case_10,Asian,Hispanic,450.0,1.0,2.6666666666666665,2.6666666666666665
EXPERIMENT_Ⅱ/FLOWISE(ADJUSTED),case_10,Asian,White,450.0,1.0,2.6666666666666665,2.6666666666666665
EXPERIMENT_Ⅱ/FLOWISE(ADJUSTED),case_10,Black,Hispanic,450.0,1.0,2.6666666666666665,2.6666666666666665
EXPERIMENT_Ⅱ/FLOWISE(ADJUSTED),case_10,Black,White,450.0,1.0,2.6666666666666665,2.6666666666666665
EXPERIMENT_Ⅱ/FLOWISE(ADJUSTED),case_10,Hispanic,White,450.0,1.0,2.6666666666666665,2.6666666666666665
EXPERIMENT_Ⅱ/FLOWISE(ADJUSTED),case_1,Asian,Black,425.0,0.7042012762335346,2.0,2.2
EXPERIMENT_Ⅱ/FLOWISE(ADJUSTED),case_1,Asian,Hispanic,405.0,0.491975570754098,2.0,2.6
EXPERIMENT_Ⅱ/FLOWISE(ADJUSTED),case_1,Asian,White,430.0,0.7620959256679833,2.0,2.2666666666666666
EXPERIMENT_Ⅱ/FLOWISE(ADJUSTED),case_1,Black,Hispanic,412.0,0.5633057746993603,2.2,2.6
EXPERIMENT_Ⅱ/FLOWISE(ADJUSTED),case_1,Black,White,447.0,0.9692471674980806,2.2,2.2666666666666666
EXPERIMENT_Ⅱ/FLOWISE(ADJUSTED),case_1,Hispanic,White,475.0,0.7048444536982224,2.6,2.2666666666666666
EXPERIMENT_Ⅱ/FLOWISE(ADJUSTED),case_2,Asian,Black,450.0,1.0,2.0,2.0
EXPERIMENT_Ⅱ/FLOWISE(ADJUSTED),case_2,Asian,Hispanic,450.0,1.0,2.0,2.0
EXPERIMENT_Ⅱ/FLOWISE(ADJUSTED),case_2,Asian,White,450.0,1.0,2.0,2.0
EXPERIMENT_Ⅱ/FLOWISE(ADJUSTED),case_2,Black,Hispanic,450.0,1.0,2.0,2.0
EXPERIMENT_Ⅱ/FLOWISE(ADJUSTED),case_2,Black,White,450.0,1.0,2.0,2.0
EXPERIMENT_Ⅱ/FLOWISE(ADJUSTED),case_2,Hispanic,White,450.0,1.0,2.0,2.0
EXPERIMENT_Ⅱ/FLOWISE(ADJUSTED),case_3,Asian,Black,465.0,0.8228278444505178,2.2333333333333334,2.1333333333333333
EXPERIMENT_Ⅱ/FLOWISE(ADJUSTED),case_3,Asian,Hispanic,455.0,0.94453311763785,2.2333333333333334,2.2
EXPERIMENT_Ⅱ/FLOWISE(ADJUSTED),case_3,Asian,White,450.0,1.0,2.2333333333333334,2.2333333333333334
EXPERIMENT_Ⅱ/FLOWISE(ADJUSTED),case_3,Black,Hispanic,440.0,0.8833869760318004,2.1333333333333333,2.2
